id,comment,score,polarity,created_at,updated_at
1,"จารครับขอให้พูดเรืองอื่นน้อยหน่อยครับ ตอนหนึ่งจารคุยสไลย์หนึงเป็น2ชัวโมงครับ",0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
2,ขอบคุณครับ,75,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
3,สอนไวเกินครับ,999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
4,เป็นวิชาที่เสียงอาจารย์กล่อมให้หลับได้ง่ายๆเพราะเน้นทฤษฎีและพื้นฐานความเข้าใจของนักศึกษาเลยอยากให้มีสิ่งที่มาช่วยดึงความสนใจหรือทดลองแบบทดสอบเล็กๆน้อยๆคับ,0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
5,สอนเร็วไปค่ะ,999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
6,สอนเร็วมาก,999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
7,"อาจารย์เก่งจริงอันนี้ยอมรับ แต่แค่เราไม่สามารถตามความเก่งของอาจารย์ได้เบย ขอโทษด้วยครับ/ค่ะ",80,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
8,"บอกว่าข้อเขียนล้วนก่อนสอบตื่นเต้นดีครับ แต่ไม่อยากตื่นเต้นอีกแล้ว",92.31,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
9,"คาดหวังให้มันจบทุก Layer จริงๆ นะจารย์ 555+
อย่างที่อาจารย์เคยพูด ผมว่ามันโอเครที่จะลองสอนแบบ ไม่ต้องรอมากขนาดนั้นก็ได้ เนื้อหามันสนุกมากครับ อยากเรียนให้จบครบจริงๆ คือพวกผม Sec 3 เก่าตอนปี 1 จะมีคนติวหลักของวิชาอาจารย์โดยเฉพาะอยู่แล้ว อารมณ์แบบนักศึกษาแพทย์นั่งอ่านช่วยเหลือกันก่อนสอบเนื้อหาเดี๋ยวให้เป็นหน้าที่พวกผมสอนๆ กันเอง ก็ได้ครับ รุ่นน้องรุ่นนี้ก็มีบางส่วนทักรุ่นพวกผมอยู่หลายคน น้องเค้าไม่เข้าใจตรงไหนเค้าทักมาตลอดครับ ผมว่ามันทำได้ น่าจะมีช่องทางติดต่ออาจารย์ทางไลน์ก็ดีนะครับ คือว่า ผมค่อนข้างจะเสียเวลาทำความเข้าใจเนื้อหาบางส่วนเอง ถ้าถามตรงๆ อาจจะทำเนื้อหาต่างๆ ทันก่อนสอบ",87.67,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
10,"จารย์สอนดีแล้วค่ะ ทำให้เนื้อหาส่วนใหญ่เข้าใจง่ายขี้น ตอนอธิบายเพิ่มอาจารย์ลองเขียนใส่สักอย่างที่ทั้งห้องจะเห็นชัดไหมค่ะ",85.71,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
11,ขอคะแนนจากลมฟ้าอากาศกลับคืนมา,0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
12,"สอนดีนะครับ หมายถึงว่าผู้สอนเข้าใจเนื้อหาในการสอนทั้งหมด แต่สอนได้ไวมากครับ ช่วยลดความเร็วลงหน่อยก็ดีนะครับ",999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
13,"สอน lap เร็วเกินไปครับ",999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
14,"ปัญหาเพื่อนๆ ไม่ได้อยู่ที่เนื้อหาแลป ปัญหาอยู่ที่เพื่อนๆผม พิมพ์กันช้าครับ เลยไม่ทันเนื้อหาแลปกันเยอะ เลยปล่อยวิชานี้กัน ลองพิมพ์คำสั่งนึงแล้วหยุดสักนิดนึงอธิบายหน่อยว่าผลที่ควรจะออกมาเป็นอะไรแล้วค่อยกด Enter เพื่อโชว์ผลลัพธ์ก็ได้ครับ เปิดแชร์จอก็ดีครับบางคนมองไม่เห็นอันนี้ก็ปัญหาหลัก 
โดยรวมถือว่าดีมากครับขอโทดแทนเพื่อนผมด้วยนะครับ 555+ ปลายทาง = Destiny โชคชะตา อยู่คนละห้องกันแต่เพื่อนมาเล่าหลายๆ อย่างให้ฟังครับ",95.05,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
15,"อาจารย์สอนดีมากครับ แต่วิชายากมาครับ",62.5,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
16,ช่วยทำโครงงานจนเสร็จได้ครับ,66.67,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
17,"ทุกอย่าง Perfect",0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
18,อยากให้ตอนปฎิบัติลดความเร็วลงหน่อยครับพิมพ์ตามไม่ค่อยจะทัน,999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
19,รบกวนครูยกตัวอย่างการเขียนโค้ดให้เข้าใจกว่านี้นิดนึงครับ,66.67,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
20,ไม่ค่อยเข้าใจเรื่องที่เรียนเท่าไหร่เลยค่ะ,75,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
21,โดยรวมอาจารย์ผู้สอนมีการเรียนการสอนอยู่ในระดับเกณฑ์ที่ดีค่อนข้างพึงพอใจในการเรียนการสอนครับ,75,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
22,สอนเร็วค่ะ,999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
23,สอนเร็วไปนิดครับ,999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
24,"อาจารย์สอนดีนะคะ แต่ถ้ามีตัวอย่างให้ดูเยอะๆ และแบบฝึกที่มีโจทย์หลากหลายให้นักศึกษาลองทำจะดีมากๆค่ะ ถ้าได้คอมที่เร็วแรงกว่านี้จะดีมากๆๆเลยค่ะ",999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
25,"อาจารย์ใจดีมากๆเลยค่ะ ไม่เข้าใจตรงไหนถามได้หมด ตอบไลน์ไวมากๆ ปรึกษาได้ตลอด",999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
26,"สอนใช้พวก Mongo DB ด้วยก็ดีครับ",66.67,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
27,ผ่านครับ,0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
28,"อยากให้โปรเจคจบเพิ่มความยากหน่อยครับ จะได้ให้เหมือนซ้อมทำโปรเจคใหญ่ต้องซื้อของนั่นนี่นู้น รวมกลุ่มกันทำ 4 คนแบบจริงจัง อยากได้ภายแบบนี้มากครับ
เห็นเพื่อนมหาลัยอื่นเล่ามาดูน่าสนุกมากครับ",80,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
29,"เรียนออนไลน์ สัปดาห์แรกๆที่มีคลิปที่ อาจาร์ยอัดไว้แล้ว ให้นักศึกษาไปนั่งดูเอง แล้ว อาจาร์ยนัดมาทำควิช ผมรู้สึกว่ามันดีกว่า",999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
30,"อาจารย์บางทีปล่อยช้า เนื้อหาที่สอน บางตัวไม่ได้ใช้ และ เวลาการสอนหลายๆบทเรียนไม่ทัน แต่รวมๆดีครับ ได้สนุกกับการเขียนเว็บมากๆ",66.67,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
31,เนื้อหาเยอะดีค่ะแต่ตามไม่ทัน,0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
32,"การเรียนการสอนดีมาก สอนได้เข้าใจและปฏิบัติตามได้ดี แต่ไม่ควรขึ้นเสียงใส่นักศึกษาในขณะที่นักศึกษาพูดจาดีๆด้วย การกระทำตุบโต๊ะและตะหวาดเสียงใส่นักศึกษาต่อหน้าทุกคนมันเป็นการกระทำที่ก่อให้เกิดความอับอาย เพราะไม่ใช่นักศึกษาทุกคนที่จะชอบด้านคอมพิวเตอร์หรือมีความรู้ด้านคอมพิวเตอร์ ควรจะใจเย็นและพูดจากับนักศึกษาให้ดีกว่านี้ การกระทำในวันนั้นมันทำให้นักศึกษาฝังใจและไม่อยากเรียนวิชาที่เกี่ยวกับคอมพิวเตอร์อีกเลย",99.59,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
33,"อาจารย์มีการสอนไปด้วย และแทรกอารมณ์ขันเข้าไปด้วยเพื่อไม่ให้นักศึกษาเครียดเกินไป
และการเรียนการสอนในแต่ละอาทิตย์จะมีใบระบุเป็นกิจลักษณะชัดเจน",60,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
34,"บางทีอาจารย์สอนเร็วไปหน่อยค่ะ แต่โดยรวมแล้วอาจารย์สอนเข้าใจได้ง่าย ขอบคุณค่ะ :)",999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
35,"ตอนสอบเราต้องการสมาธิมากๆค่ะ แต่ตลอดการสอบอาจารจะพูดคุยหรือบางครั้งก็ขำคิกคักตลอดค่ะ จริงๆอาจารคุยได้นะคะแต่ปิดไมค์เถอะค่ะ เด็กไม่มีสมาธิ เวลาให้ทำข้อสอบก็น้อย อาจารยังพูดเสียงดังอีกค่ะ การเรียนการสอนดีมากแล้ว ติดแค่ตรงนี้ค่ะ",83.33,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
36,"อยากให้อุปกรใน มหาวิทยาลัย ดีกว่านี้",75,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
37,"อาจารย์ใจดี ช่วยสอนนศ.ถ้านศไม่เข้าใจในห้อง",60,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
38,สอนไวไป,999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
39,"อาจารย์สอนเข้าใจให้งานไวแล้วก็พูดดีมากๆด้วยค่ะ เนื้อหาครบ แต่อยากให้อาจารย์พูดลดความเร็วตอนสอนลงนิดนึงค่ะ ขอบคุณค่ะอาจารย์สำหรับเทอมนี้ ขอ A ทีนะคะ",999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
40,ครูผู้สอนใจดีมากไม่เข้าใจตรงไหนถามได้ตลอด,60,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
41,"อาจารย์สอนเข้าใจดีค่ะ แต่อาจารย์พูดเร็วเกิน รอนักศึกษาก่อน555",999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
42,"สอนเข้าใจง่าย แสอนเข้าใจง่าย แต่เวลาออกข้อสอบยากมากมากคะ อยากให้อาจารย์ออกง่ายกว่านี้นิดหนึ่ง #อาจารย์น่ารัก",91.43,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
43,อยากให้อาจารย์รับความคิดเห็นของนักศึกษาบ้างค่ะ,0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
44,"แอร์ที่ห้องเรียนร้อนทุกสัปดาห์ อยากให้ปรับปรุง",0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
45,อาจารย์ควรมีไมค์นะคะ,0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
46,"อาจารย์ใจดีคะ ถ้าใครไม่เข้าใจอาจารย์ก็จะอธิบายให้เข้าใจมากขึ้น มีแบบฝึกหัดมากให้ทำเสมอ มีสื่อประกอบการเรียนเสมอ ได้ทำแบบฝึกหัดตามอาจารย์ไปพร้อมกันซึ่งสามารถนำไปใช้ในชีวิตประจำวันได้ด้วยคะ",57.14,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
47,แอร์ร้อนมากกก,0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
48,อาจารย์สอนบางทีไม่ค่อยเข้าใจคะอาจารย์ชอบพูดไวตามไม่ค่อยทันคะ,999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
49,สอนเร็วไป,999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
50,อาจารย์สอนดีแต่สอนไวไปในบางที,999,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
51,อยากให้อาจารย์ออกสูตรเกี่ยวกับข้อเขียนลดลงหน่อยค่ะ,66.67,negative,"2024-07-31 15:40:41","2024-07-31 15:40:41"
52,ส่งงานย้อนหลังไม่ได้ค่ะ,0,neutral,"2024-07-31 15:40:41","2024-07-31 15:40:41"
53,"อาจารย์ทำการสอนดีเข้าใจง่ายแต่เนื้อหาอาจมีเยอะยากที่จะสรุปไปบ้าง แต่ก็ถูกแทนด้วยความใจดีและให้โอกาสนักศึกษาได้ลองผิดถูกก่อนการวัดปลจริงมีแบบทดสอบต่างๆที่พัฒนาการช่วยจำได้ดีและยังน่าสนใจคับ",99.08,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
54,สอนทีเหมือนอาจารย์กำลังแร็ปเหมือนไม่ได้มาเรียนเหมือนมาดูเดอะแร็ปเปอร์แต่อาจารย์ก้สอนดีค่ะอาจารย์ให้โอกาสเสมอ,85.71,positive,"2024-07-31 15:40:41","2024-07-31 15:40:41"
55,"อาจารย์สอนดีมากๆเลยค่ะ พอไม่เข้าใจก็จะย้ำจนกว่าจะจำได้",0,neutral,"2024-07-31 15:40:42","2024-07-31 15:40:42"
56,เมตตาหนูหน่อยนะคะ,66.67,positive,"2024-07-31 15:40:42","2024-07-31 15:40:42"
57,ดีดีดีดี,0,neutral,"2024-07-31 15:40:42","2024-07-31 15:40:42"
58,"แรกๆงง หลังๆตื่นเต้่นครับ",66.67,negative,"2024-07-31 15:40:42","2024-07-31 15:40:42"
59,ดีย์,0,neutral,"2024-07-31 15:40:42","2024-07-31 15:40:42"
